"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 07 10:01:28 SAMT 2025","Wed May 07 10:01:32 SAMT 2025","4762","","tests.ConstructorNavigationTest","","tests.ConstructorNavigationTest","shouldNavigateToSaucesSection","Переход к разделу 'Соусы'","Проверяет, что переход к разделу 'Соусы' работает корректно."
"passed","Wed May 07 10:01:37 SAMT 2025","Wed May 07 10:01:45 SAMT 2025","7560","","tests.PersonalAccountNavigationTest","","tests.PersonalAccountNavigationTest","testNavigateToPersonalAccount","Проверка перехода в личный кабинет","Проверяет, что пользователь переходит на страницу личного кабинета после клика по кнопке 'Личный кабинет'."
"passed","Wed May 07 10:02:04 SAMT 2025","Wed May 07 10:02:09 SAMT 2025","4958","","tests.UserLoginTest","","tests.UserLoginTest","testLoginViaMainPageLoginButton","Тест входа по кнопке «Войти в аккаунт» на главной","Проверяет, что пользователь может войти через кнопку «Войти в аккаунт» на главной странице."
"passed","Wed May 07 10:02:09 SAMT 2025","Wed May 07 10:02:14 SAMT 2025","5134","","tests.UserLoginTest","","tests.UserLoginTest","testLoginViaPasswordRecoveryFormButton","Тест входа через кнопку в форме восстановления пароля","Проверяет, что пользователь может войти через кнопку входа в форме восстановления пароля."
"passed","Wed May 07 10:01:32 SAMT 2025","Wed May 07 10:01:35 SAMT 2025","2320","","tests.ConstructorNavigationTest","","tests.ConstructorNavigationTest","shouldNavigateToFillingsSection","Переход к разделу 'Начинки'","Проверяет, что переход к разделу 'Начинки' работает корректно."
"passed","Wed May 07 10:02:21 SAMT 2025","Wed May 07 10:02:24 SAMT 2025","2941","","tests.UserRegistrationTest","","tests.UserRegistrationTest","testErrorForInvalidPassword","Ошибка при регистрации с некорректным паролем","Проверяет, что ошибка отображается, если длина пароля меньше 6 символов."
"passed","Wed May 07 10:01:49 SAMT 2025","Wed May 07 10:01:54 SAMT 2025","4659","","tests.PersonalAccountNavigationTest","","tests.PersonalAccountNavigationTest","testNavigateToMainPageViaLogo","Проверка перехода по клику на логотип Stellar Burgers","Проверяет, что пользователь возвращается на главную страницу после клика на логотип Stellar Burgers."
"passed","Wed May 07 10:01:59 SAMT 2025","Wed May 07 10:02:04 SAMT 2025","5324","","tests.UserLoginTest","","tests.UserLoginTest","testLoginViaRegistrationFormButton","Тест входа через кнопку в форме регистрации","Проверяет, что пользователь может войти через кнопку входа в форме регистрации."
"passed","Wed May 07 10:01:45 SAMT 2025","Wed May 07 10:01:49 SAMT 2025","4590","","tests.PersonalAccountNavigationTest","","tests.PersonalAccountNavigationTest","testNavigateToConstructor","Проверка перехода по клику на 'Конструктор'","Проверяет, что пользователь возвращается на главную страницу после клика по кнопке 'Конструктор'."
"passed","Wed May 07 10:02:24 SAMT 2025","Wed May 07 10:02:29 SAMT 2025","5492","","tests.UserRegistrationTest","","tests.UserRegistrationTest","testSuccessfulRegistration","Успешная регистрация нового пользователя","Проверяет, что пользователь успешно регистрируется и перенаправляется в личный кабинет для проверки email."
"passed","Wed May 07 10:01:54 SAMT 2025","Wed May 07 10:01:59 SAMT 2025","4947","","tests.UserLoginTest","","tests.UserLoginTest","testLoginViaAccountButton","Тест входа через кнопку «Личный кабинет»","Проверяет, что пользователь может войти через кнопку «Личный кабинет»."
"passed","Wed May 07 10:02:14 SAMT 2025","Wed May 07 10:02:21 SAMT 2025","6129","","tests.UserLogoutTest","","tests.UserLogoutTest","testLogoutFromPersonalAccount","Проверка выхода по кнопке 'Выйти'","Проверяет, что пользователь успешно выходит из аккаунта после нажатия на кнопку 'Выйти' в личном кабинете."
"passed","Wed May 07 10:01:35 SAMT 2025","Wed May 07 10:01:37 SAMT 2025","2585","","tests.ConstructorNavigationTest","","tests.ConstructorNavigationTest","shouldNavigateToBunsSection","Переход к разделу 'Булки'","Проверяет, что переход к разделу 'Булки' работает корректно."
